headword,pronunciation
함묵,h a m m u k
함유,h a m j u
함정,h a m ɟ ə ŋ
합기도,h a p g i d o
합류,h a p r j u
합류하다,h a p n j u h a d a
합성음,h s p s ə ŋ ɨ m
합쇼체,h a p ʃ o cʰ e
핫,h a ʃ
핫도그,h a t t o g ɨ
항,h a ŋ
항공사고,h a ŋ g o ŋ s a g o
항공우편,h a ŋ g o ŋ u pʰ j ə n
항등식,h a ŋ d ɨ ŋ ʃ i k
항복,h a ŋ b o k
항복하다,h a ŋ b o k h a d a
항하사,h a ŋ h a s a
해,h ɛː
해,h ɛ
해금,h ɛ g ɨ m
해금,h ɛː g ɨ m
해금되다,h ɛ g ɨ m d w e d a h ɛ g ɨ m d ø d a
해금하다,h ɛ g ɨ m h a d a
해답,h ɛ d a p
해라,h ɛ r a
해라체,h ɛ r a cʰ e
해라하다,h ɛ r a h a d a
해머던지기,h ɛ m ə t ə n ɟ i k i
해명하다,h ɛ m j ə ŋ h a d a
해볕,h ɛ p j ə t
해비,h ɛ b i
해산,h ɛ s a n
해산하다,h ɛ s a n h a d a
해양,h ɛ j a ŋ
해요체,h ɛ j o cʰ e
해일,h ɛ i l
해적,h ɛ ɟ ə k
해체,h ɛ cʰ e
해치다,h ɛː cʰ i d a
해커,h ɛ kʰ ə
해협,h ɛ h j ə p
햄스터,h ɛ m s ɨ tʰ ə
행,h ɛ ŋ
행글라이더,h ɛ ŋ g ɨ l l a i d ə
행복스럽다,h ɛː ŋ b o k s ɨ r e p t a
행복스레,h ɛː ŋ b o k s ɨ r e
행성,h ɛ ŋ s ə ŋ
행정관,h ɛ ŋ ɟ ə ŋ g w a n
행주,h ɛ ŋ ɟ u
행진,h ɛ ŋ ɟ i n
행진하다,h ɛ ŋ ɟ i n h a d a
향기롭다,h j a ŋ g i r o p t a
허,h ə
허락,h ə r a k
허름,h ə r ɨ m
허리춤,h ə r i cʰ u m
허브,h ə b ɨ
허수,h ə s u
허술,h ə s u l
헌법재판소,h ə n p ə p ɟ ɛ pʰ a n s o
헐,h ə l
헐다,h əː l t a
헐떡거리다,h ə l t ə k g ə r i d a
헛,h ə t
헤게모니,h e g e m o n i
헤비메탈,h e b i m e tʰ a l
헤옴티다,h e o m tʰ i d a
헤욤,h e j o m
헬멧,h e l m e t
혀바닥,h j ə p a d a k
혁명적,h j ə ŋ m j ə ŋ ɟ ə k
현대식,h j ə n d ɛ ʃ i k
현명,h j ə n m j ə ŋ
현미경,h j ə n m i g j ə ŋ
현재,h j əː n j ɛ
혈류,h j ə l l j u
혈액학,h j ə l ɛ k h a k
혈종,h j ə l c o ŋ
협의하다,h j ə p ɨ j h a d a
협조,h j ə p c o
협회,h j ə p h œ h j ə p h w e
형,h j ə ŋ
형제애,h j ə ŋ ɟ e ɛ
형태소,h j ə ŋ tʰ ɛ s o
형태학,h j ə ŋ tʰ ɛ h a k
혜윤,h j e j u n
호각,h oː g a k
호기음,h o g i ɨ m
호남아,h o n a m a
호두나무,h o d u n a m u
호들,h o t ɨ l
호들호들,h o t ɨ l h o t ɨ l
호들호들하다,h o t ɨ l h o t ɨ l h a d a
호떡,h o t ə k
호떡집,h o t ə k c i p
호래자식,h o r ɛ ɟ a ʃ i k
호루라기,h o r u r a g i
호사태랄리아,h o s a tʰ ɛ r a l r i a
호수,h oː s u
호수,h o s u
호스티스,h o s ɨ tʰ i s ɨ
호의호식,h oː ɨ j h o ʃ i k
호의호식하다,h oː ɨ j h o ʃ i kʰ a d a
호전,h o ɟ ə n
호전적,h o ɟ ə n ɟ ə k
호주,h o ɟ u
호주,h oː ɟ u
호초말,h o cʰ o m a l
호화롭다,h o h w a r o p t a
혹,h o k
혼,h o n
혼자,h o n ɟ a
혼자말,h o n ɟ a m a l
혼합하다,h o n h a p h a d a
홀,h o l
홀쭉하다,h o l c u k h a d a
홈,h o m
홍,h o ŋ
홍콩,h o ŋ kʰ o ŋ
홑,
화강석,h w a g a ŋ s ə k
화강암,h w a g a ŋ a m
화룡,h w a r j o n g
화룡,h w aː r j o n g
화면반주음악실,h w a m j ə n b a n ɟ u ɨ m m a k ʃ i l
화목,h w a m o k
화목,h w aː m o k
화목하다,h w a m o k h a d a
화산학자,h w a s a n h a k ɟ a
화석,h w a s ə k
화이트칼라,h w a i tʰ ɨ kʰ a l l a
화자,h w a ɟ a
화장비누,h w a c a n g p i n u
화장하다,h w a ɟ a ŋ h a d a
화전민,h w aː ɟ ə n m i n
화제,h w aː ɟ e
화제,h w a ɟ e
화판,h w aː pʰ a n
화폐학자,h w a pʰ j e h a k ɟ a
화풀이,h w aː pʰ u r i
화하다,h w a h a d a
화합물,h w a h a p m u l
화합하다,h w a h a p h a d a
환,h w a n
환,h w aː n
활,h w a l
활동성,h w a l t o ŋ s ə ŋ
활력,h w a l l j ə k
활발히,h w a l b a l h i
활유법,h w a r j u p ə p
활음,h w a l ɨ m
활줌통,h w a l c u m tʰ o ŋ
황금,h w a ŋ g ɨ m
황금비,h w a ŋ g ɨ m b i
황무지,h w a ŋ m u ɟ i
황야,h w a ŋ j a
황열,h w a ŋ j ə l
황옥,h w a ŋ o k
황지,h w a ŋ ɟ i
황토색,h w a ŋ tʰ o s ɛ k
황혼,h w a ŋ h o n
황후,h w a ŋ h u
횃불,h w e t b u l
회덮밥,h ø t ə p b a p h w e t ə p b a p
회사원,h w e s a w ə n h ø s a w ə n
회수하다,h ø s u h a d a h w e s u h a d a
회전력,h ø ɟ ə n n j ə k h w e ɟ ə n n j ə k
회족,h ø ɟ o k h w e ɟ o k
회중전등,h ø ɟ u ŋ c ə n d ɨ ŋ h w e ɟ u ŋ c ə n d ɨ ŋ
회합주기,h ø h a p ɟ u g i
회화,h ø h w a h w e h w a
후,h u
후,h uː
후더분,h u t ə p u n
후들,h u t ɨ l
후련,h u r j ə n
후미지다,h u m i c i d a
후이족,h u i ɟ o k
후추,h u cʰ u
후추가루,h u cʰ u g a r u
훌라후프,h u l r a h u pʰ ɨ
훌륭,h j u l l j u ŋ
휘파람,h w i pʰ a r a m
휴지,h j u c i
흉,ç j u ŋ
흉터,h j u ŋ tʰ ə
흐릿,x ɯ̈ ɾ i t̚
흑,h ɨ k
흑백텔레비전,h ɨ k p ɛ k tʰ e l l e b i ɟ ə n
흑옥,h ɨ k o k
흔,h ɨ n
흡기음,h ɨ p k i ɨ m
흡착음,h ɨ p cʰ a k ɨ m
흥,h ɨ ŋ
흥겹다,h ɨ ŋ k j ə p t a
흥분,h ɨ ŋ b u n
흥분하다,h ɨ ŋ b u n h a d a
흥얼,h ɨ ŋ ə l
흥청,h ɨ ŋ cʰ ə ŋ
희가스,h ɨ j g a s ɨ
희극인,h ɨ k ɨ k i n
희롱꾼,h ɨ j r o ŋ k u n
희말쑥,h ɨ m a l s u k
희말쑥하다,h ɨ m a l s u k h a d a
희아리,h i a r i h ɨ j a r i
흰둥이,h i n t u ŋ i
흰죽,h ɨ j n ɟ u k
히,h i
히,h iː
히스테리,h i s ɨ t o r i
히스파니아,h i s ɨ pʰ a n i a
히스패닉,h i s ɨ pʰ ɛ n i k
히잡,h i ɟ a p
히트,h i tʰ ɨ
힌트,h i n tʰ ɨ
힘줄,h i m c u l
힙합,h i p h a p
